Time,Humidity,Temperature,HumidifierPower
Sun Mar  3 19:09:42 2019,94.0,26.3,0.0
Sun Mar  3 19:09:43 2019,94.0,26.3,0.0
Sun Mar  3 19:09:44 2019,94.0,26.3,0.0
Sun Mar  3 19:09:44 2019,94.0,26.3,0.0
Sun Mar  3 19:09:45 2019,94.0,26.3,0.0
Sun Mar  3 19:09:45 2019,94.0,26.3,0.0
Sun Mar  3 19:09:46 2019,94.0,26.3,0.0
Sun Mar  3 19:09:47 2019,94.0,26.3,0.0
Sun Mar  3 19:09:47 2019,94.0,26.3,0.0
Sun Mar  3 19:09:48 2019,94.0,26.3,0.0
Sun Mar  3 19:09:49 2019,94.0,26.3,0.0
Sun Mar  3 19:09:49 2019,94.0,26.3,0.0
Sun Mar  3 19:09:50 2019,94.0,26.3,0.0
Sun Mar  3 19:09:50 2019,94.0,26.3,0.0
Sun Mar  3 19:09:51 2019,94.0,26.3,0.0
Sun Mar  3 19:09:52 2019,94.0,26.3,0.0
Sun Mar  3 19:09:52 2019,94.0,26.3,0.0
Sun Mar  3 19:09:53 2019,94.0,26.3,0.0
Sun Mar  3 19:09:53 2019,94.0,26.3,0.0
Sun Mar  3 19:09:54 2019,94.0,26.3,0.0
Sun Mar  3 19:09:54 2019,94.0,26.3,0.0
Sun Mar  3 19:09:55 2019,94.0,26.3,0.0
Sun Mar  3 19:09:56 2019,94.0,26.3,0.0
Sun Mar  3 19:09:56 2019,94.0,26.3,0.0
Sun Mar  3 19:09:57 2019,94.0,26.3,0.0
Sun Mar  3 19:09:57 2019,94.0,26.3,0.0
Sun Mar  3 19:09:58 2019,94.0,26.3,0.0
Sun Mar  3 19:09:59 2019,94.0,26.3,0.0
Sun Mar  3 19:09:59 2019,94.0,26.3,0.0
Sun Mar  3 19:10:00 2019,94.0,26.3,0.0
Sun Mar  3 19:10:00 2019,94.0,26.3,0.0
Sun Mar  3 19:10:01 2019,94.0,26.3,0.0
Sun Mar  3 19:10:02 2019,94.0,26.2,0.0
Sun Mar  3 19:10:02 2019,94.0,26.3,0.0
Sun Mar  3 19:10:03 2019,94.0,26.3,0.0
Sun Mar  3 19:10:03 2019,94.0,26.3,0.0
Sun Mar  3 19:10:04 2019,94.0,26.3,0.0
Sun Mar  3 19:10:05 2019,94.0,26.3,0.0
Sun Mar  3 19:10:05 2019,94.0,26.3,0.0
Sun Mar  3 19:10:06 2019,94.0,26.3,0.0
Sun Mar  3 19:10:06 2019,94.0,26.3,0.0
Sun Mar  3 19:10:07 2019,94.0,26.3,0.0
Sun Mar  3 19:10:08 2019,94.0,26.3,0.0
Sun Mar  3 19:10:08 2019,94.0,26.3,0.0
Sun Mar  3 19:10:09 2019,94.0,26.3,0.0
Sun Mar  3 19:10:09 2019,94.0,26.3,0.0
Sun Mar  3 19:10:10 2019,94.0,26.3,0.0
Sun Mar  3 19:10:13 2019,94.0,26.3,0.0
Sun Mar  3 19:10:14 2019,94.0,26.3,0.0
Sun Mar  3 19:10:14 2019,94.0,26.3,0.0
Sun Mar  3 19:10:15 2019,94.0,26.3,0.0
Sun Mar  3 19:10:16 2019,94.0,26.3,0.0
Sun Mar  3 19:10:19 2019,94.0,26.3,0.0
Sun Mar  3 19:10:19 2019,94.0,26.3,0.0
Sun Mar  3 19:10:20 2019,94.0,26.3,0.0
Sun Mar  3 19:10:20 2019,94.0,26.3,0.0
Sun Mar  3 19:10:21 2019,94.0,26.3,0.0
Sun Mar  3 19:10:22 2019,94.0,26.3,0.0
Sun Mar  3 19:10:22 2019,94.0,26.3,0.0
Sun Mar  3 19:10:23 2019,94.0,26.3,0.0
Sun Mar  3 19:10:23 2019,94.0,26.3,0.0
Sun Mar  3 19:10:24 2019,94.0,26.3,0.0
Sun Mar  3 19:10:25 2019,94.0,26.3,0.0
Sun Mar  3 19:10:28 2019,94.0,26.3,0.0
Sun Mar  3 19:10:28 2019,94.0,26.3,0.0
Sun Mar  3 19:10:29 2019,94.0,26.3,0.0
Sun Mar  3 19:10:32 2019,94.0,26.3,0.0
Sun Mar  3 19:10:33 2019,94.0,26.3,0.0
Sun Mar  3 19:10:33 2019,94.0,26.3,0.0
Sun Mar  3 19:10:36 2019,94.0,26.3,0.0
Sun Mar  3 19:10:37 2019,94.0,26.3,0.0
Sun Mar  3 19:10:38 2019,94.0,26.3,0.0
Sun Mar  3 19:10:38 2019,94.0,26.3,0.0
Sun Mar  3 19:10:39 2019,94.0,26.3,0.0
Sun Mar  3 19:10:39 2019,94.0,26.3,0.0
Sun Mar  3 19:10:40 2019,94.0,26.3,0.0
Sun Mar  3 19:10:41 2019,94.0,26.3,0.0
Sun Mar  3 19:10:41 2019,94.0,26.3,0.0
Sun Mar  3 19:10:42 2019,94.0,26.3,0.0
Sun Mar  3 19:10:42 2019,94.0,26.3,0.0
Sun Mar  3 19:10:43 2019,94.0,26.3,0.0
Sun Mar  3 19:10:44 2019,94.0,26.3,0.0
Sun Mar  3 19:10:44 2019,94.0,26.3,0.0
Sun Mar  3 19:10:45 2019,94.0,26.3,0.0
Sun Mar  3 19:10:45 2019,94.0,26.3,0.0
Sun Mar  3 19:10:46 2019,94.0,26.3,0.0
Sun Mar  3 19:10:47 2019,94.0,26.2,0.0
Sun Mar  3 19:10:47 2019,94.0,26.3,0.0
Sun Mar  3 19:10:48 2019,94.0,26.3,0.0
Sun Mar  3 19:10:48 2019,94.0,26.3,0.0
Sun Mar  3 19:10:49 2019,94.0,26.3,0.0
Sun Mar  3 19:10:50 2019,94.0,26.3,0.0
Sun Mar  3 19:10:50 2019,94.0,26.3,0.0
Sun Mar  3 19:10:51 2019,94.0,26.3,0.0
Sun Mar  3 19:10:51 2019,94.0,26.3,0.0
Sun Mar  3 19:10:52 2019,94.0,26.3,0.0
Sun Mar  3 19:10:53 2019,94.0,26.3,0.0
Sun Mar  3 19:10:53 2019,94.0,26.3,0.0
Sun Mar  3 19:10:54 2019,94.0,26.3,0.0
Sun Mar  3 19:10:54 2019,94.0,26.3,0.0
Sun Mar  3 19:10:55 2019,94.0,26.3,0.0
Sun Mar  3 19:10:56 2019,94.0,26.3,0.0
Sun Mar  3 19:10:56 2019,94.0,26.3,0.0
Sun Mar  3 19:10:57 2019,94.0,26.3,0.0
Sun Mar  3 19:10:57 2019,94.0,26.3,0.0
Sun Mar  3 19:10:58 2019,94.0,26.3,0.0
Sun Mar  3 19:11:01 2019,94.0,26.3,0.0
Sun Mar  3 19:11:02 2019,94.0,26.3,0.0
Sun Mar  3 19:11:02 2019,94.0,26.3,0.0
Sun Mar  3 19:11:05 2019,94.0,26.3,0.0
Sun Mar  3 19:11:06 2019,94.0,26.3,0.0
Sun Mar  3 19:11:07 2019,94.0,26.3,0.0
Sun Mar  3 19:11:07 2019,94.0,26.3,0.0
Sun Mar  3 19:11:08 2019,94.0,26.3,0.0
Sun Mar  3 19:11:08 2019,94.0,26.3,0.0
Sun Mar  3 19:11:09 2019,94.0,26.3,0.0
Sun Mar  3 19:11:10 2019,94.0,26.3,0.0
Sun Mar  3 19:11:10 2019,94.0,26.3,0.0
Sun Mar  3 19:11:11 2019,94.0,26.3,0.0
Sun Mar  3 19:11:11 2019,94.0,26.3,0.0
Sun Mar  3 19:11:12 2019,94.0,26.3,0.0
Sun Mar  3 19:11:13 2019,94.0,26.3,0.0
Sun Mar  3 19:11:13 2019,94.0,26.2,0.0
Sun Mar  3 19:11:14 2019,94.0,26.3,0.0
Sun Mar  3 19:11:17 2019,94.0,26.3,0.0
Sun Mar  3 19:11:18 2019,94.0,26.3,0.0
Sun Mar  3 19:11:18 2019,94.0,26.3,0.0
Sun Mar  3 19:11:19 2019,94.0,26.3,0.0
Sun Mar  3 19:11:19 2019,94.0,26.3,0.0
Sun Mar  3 19:11:20 2019,94.0,26.3,0.0
Sun Mar  3 19:11:21 2019,94.0,26.3,0.0
Sun Mar  3 19:11:21 2019,94.0,26.3,0.0
